player computer r s p
pppss ssspp 1 1 0
pppss ssssp 0 2 0
pppss ssssr 16 18 21
ppr ppp 0 0 1
ppr pps 3 5 3
ppr prp 1 1 1
ppr prr 1 0 4
ppr prs 6 7 1
ppr psp 0 0 2
ppr psr 2 2 2
ppr pss 123 119 44
ppr rpp 3 2 3
ppr rps 5 6 8
ppr rrp 1 0 1
ppr rrr 3 0 1
ppr rrs 21 31 37
ppr rsp 0 0 1
ppr rsr 3 1 3
ppr rss 48 67 35
ppr spp 1 0 1
ppr sps 10 7 5
ppr srs 5 6 7
ppr ssp 1 0 0
ppr ssr 4 3 2
ppr sss 66 88 44
pprp pppp 0 1 0
pprp ppsr 2 1 0
pprp prpr 0 0 1
pprp prrr 1 0 0
pprp prrs 0 2 1
pprp prss 1 0 0
pprp pspr 1 0 0
pprp psps 1 0 0
pprp psrr 0 0 1
pprp psrs 0 0 1
pprp pssp 8 24 7
pprp pssr 2 1 0
pprp psss 0 0 1
pprp rppp 0 0 2
pprp rpsp 1 0 0
pprp rpsr 0 0 1
pprp rpss 2 0 4
pprp rrpr 0 0 1
pprp rrrp 0 0 1
pprp rrsp 0 1 1
pprp rrss 5 11 18
pprp rspr 0 1 0
pprp rsrp 0 1 0
pprp rsrr 0 1 1
pprp rssp 7 7 5
pprp rssr 5 6 3
pprp rsss 0 1 0
pprp spps 1 0 0
pprp spsp 3 0 0
pprp spsr 0 0 1
pprp spss 1 0 0
pprp srsp 1 2 0
pprp srss 1 1 2
pprp ssrp 0 0 1
pprp ssrr 0 0 1
pprp sssp 3 7 3
pprp sssr 8 14 7
pprp ssss 0 1 0
pprpp prprs 1 0 0
pprpp prrsr 0 1 0
pprpp psrrs 0 1 0
pprpp psrsp 0 1 0
pprpp psspr 0 2 3
pprpp pssps 2 0 0
pprpp psssp 1 0 0
pprpp rpppp 0 0 1
pprpp rppps 0 1 0
pprpp rpsrs 1 0 0
pprpp rpssp 0 1 0
pprpp rpsss 0 0 3
pprpp rrprr 0 0 1
pprpp rrrps 0 1 0
pprpp rrspr 0 1 0
pprpp rrssr 0 0 1
pprpp rrsss 5 4 8
pprpp rsrrr 1 0 0
pprpp rsspp 0 0 1
pprpp rsspr 0 1 0
pprpp rssps 2 0 1
pprpp rssrp 2 1 0
pprpp spsrp 0 0 1
pprpp srsss 1 0 1
pprpp ssrps 0 0 1
pprpp ssrrs 0 1 0
pprpp ssspp 0 0 1
pprpp ssspr 0 1 1
pprpp sssrp 2 0 0
pprpp sssrr 0 2 2
pprpr ppsrp 1 0 0
pprpr ppsrr 1 0 0
pprpr prrrs 0 0 1
pprpr prssr 0 1 0
pprpr psprr 0 0 1
pprpr pspsp 0 1 0
pprpr psspp 0 0 1
pprpr psspr 2 0 1
